date,qsim,year,month,qobs
1991-01-05,826.202475751028,1991,1,
1991-01-06,775.1600474101871,1991,1,
1991-01-07,711.6247724716022,1991,1,
1991-01-08,668.0277943966469,1991,1,
1991-01-09,645.6376097345872,1991,1,
1991-01-10,632.7537091427552,1991,1,
1991-01-11,642.146936844094,1991,1,
1991-01-12,637.2790229362028,1991,1,
1991-01-13,601.7509529979637,1991,1,
1991-01-14,533.3330053999297,1991,1,
1991-01-15,450.8315877210369,1991,1,
1991-01-16,375.3135585426842,1991,1,
1991-01-17,313.80878470617546,1991,1,
1991-01-18,267.4350653713421,1991,1,
1991-01-19,233.6187135471741,1991,1,
1991-01-20,208.92379303844191,1991,1,
1991-01-21,191.28730544487595,1991,1,
1991-01-22,183.5066988549912,1991,1,
1991-01-23,178.99451024513772,1991,1,
1991-01-24,171.88236344910084,1991,1,
1991-01-25,163.7467312937041,1991,1,
1991-01-26,155.6626768815813,1991,1,
1991-01-27,148.20879273117566,1991,1,
1991-01-28,141.43826740934998,1991,1,
1991-01-29,135.35420000092105,1991,1,
1991-01-30,129.88771708644222,1991,1,
1991-01-31,124.96116990250574,1991,1,
1991-02-01,120.50560328178214,1991,2,
1991-02-02,116.461784010674,1991,2,
1991-02-03,112.7789100959837,1991,2,
1991-02-04,109.41329752020056,1991,2,
1991-02-05,106.3272719239132,1991,2,
1991-02-06,103.48824887209564,1991,2,
1991-02-07,100.8679693144912,1991,2,
1991-02-08,98.44186173598924,1991,2,
1991-02-09,96.18850803676274,1991,2,
1991-02-10,94.0891946851565,1991,2,
1991-02-11,92.12753424914344,1991,2,
1991-02-12,90.28914523537638,1991,2,
1991-02-13,88.56138041183618,1991,2,
1991-02-14,86.93309558654478,1991,2,
1991-02-15,85.3944522573919,1991,2,
1991-02-16,84.28768518058641,1991,2,
1991-02-17,84.30589090943516,1991,2,
1991-02-18,83.6749660403246,1991,2,
1991-02-19,83.92516628041388,1991,2,
1991-02-20,90.83045597637124,1991,2,
1991-02-21,106.69443330636555,1991,2,
1991-02-22,128.62604792255067,1991,2,
1991-02-23,141.39746442546348,1991,2,
1991-02-24,146.4177434186329,1991,2,
1991-02-25,145.12199826235482,1991,2,
1991-02-26,141.91983179206656,1991,2,
1991-02-27,139.72195197836837,1991,2,
1991-02-28,139.7559600430137,1991,2,
1991-03-01,138.26990128641822,1991,3,
1991-03-02,137.08190435364358,1991,3,
1991-03-03,136.21022269552358,1991,3,
1991-03-04,134.33341958301614,1991,3,
1991-03-05,129.92089678863115,1991,3,
1991-03-06,124.27514369457602,1991,3,
1991-03-07,119.034842223412,1991,3,
1991-03-08,114.33288199873628,1991,3,
1991-03-09,110.20052026831776,1991,3,
1991-03-10,107.0116776610089,1991,3,
1991-03-11,105.25753131793252,1991,3,
1991-03-12,103.75199176915972,1991,3,
1991-03-13,101.0894766758389,1991,3,
1991-03-14,97.97400138282552,1991,3,
1991-03-15,95.00710187617834,1991,3,
1991-03-16,92.28886854735244,1991,3,
1991-03-17,89.79159018482007,1991,3,
1991-03-18,87.50058844856055,1991,3,
1991-03-19,100.59223241210566,1991,3,
1991-03-20,126.1776492915858,1991,3,
1991-03-21,144.09408503277572,1991,3,
1991-03-22,158.47681158971594,1991,3,
1991-03-23,165.0794158144666,1991,3,
1991-03-24,163.5146933129898,1991,3,
1991-03-25,154.5394675669563,1991,3,
1991-03-26,144.56753185215248,1991,3,
1991-03-27,136.17379577417546,1991,3,
1991-03-28,129.5427684902958,1991,3,
1991-03-29,123.62984399207376,1991,3,
1991-03-30,117.90531949984512,1991,3,
1991-03-31,112.67540413581912,1991,3,
1991-04-01,107.98261455050732,1991,4,
1991-04-02,103.75742358253584,1991,4,
1991-04-03,99.9366545658368,1991,4,
1991-04-04,96.57418813898704,1991,4,
1991-04-05,93.80074793415253,1991,4,
1991-04-06,91.3098453285046,1991,4,
1991-04-07,88.91248050408898,1991,4,
1991-04-08,86.66702602689355,1991,4,
1991-04-09,84.53067749138664,1991,4,
1991-04-10,82.4316932985442,1991,4,
1991-04-11,80.41603413858199,1991,4,
1991-04-12,78.51986827151929,1991,4,
1991-04-13,76.74832065131888,1991,4,
1991-04-14,75.09334189130819,1991,4,
1991-04-15,73.54466581978187,1991,4,
1991-04-16,72.09349284519192,1991,4,
1991-04-17,70.72767632929019,1991,4,
1991-04-18,69.45777808148382,1991,4,
1991-04-19,68.41911106759095,1991,4,
1991-04-20,67.82826530870695,1991,4,
1991-04-21,67.30955774593974,1991,4,
1991-04-22,68.06874209702032,1991,4,
1991-04-23,68.52265260610605,1991,4,
1991-04-24,67.81607897900142,1991,4,
1991-04-25,67.32242141764269,1991,4,
1991-04-26,66.10115905930708,1991,4,
1991-04-27,64.70520993782954,1991,4,
1991-04-28,63.49741339075474,1991,4,
1991-04-29,64.2125174627733,1991,4,
1991-04-30,75.25355516884235,1991,4,
1991-05-01,89.89500874451812,1991,5,
1991-05-02,94.99802260609772,1991,5,
1991-05-03,90.4146349960974,1991,5,
1991-05-04,83.61410144165941,1991,5,
1991-05-05,79.24160669901579,1991,5,
1991-05-06,76.43420378428898,1991,5,
1991-05-07,74.29822840286711,1991,5,
1991-05-08,72.3866493410461,1991,5,
1991-05-09,70.44863717391951,1991,5,
1991-05-10,68.6158014620312,1991,5,
1991-05-11,67.41598294597931,1991,5,
1991-05-12,68.15928934484891,1991,5,
1991-05-13,68.11419645840242,1991,5,
1991-05-14,66.52440176923706,1991,5,
1991-05-15,64.90429901366082,1991,5,
1991-05-16,65.26779558579237,1991,5,
1991-05-17,67.66263140681006,1991,5,
1991-05-18,67.12728130840242,1991,5,
1991-05-19,64.80156196200862,1991,5,
1991-05-20,62.95752753521664,1991,5,
1991-05-21,61.550116771555416,1991,5,
