nSoil_Types 2676
SOIL_NR	HORIZON	UD[mm]	LD[mm]	Clay[%]	SAND[%]	Bd[gcm-3]	Silt[%]
92	1	0	300	2.5	92.5	1.4	
92	2	300	410	2.5	92.5	1.63	
92	3	410	700	2.5	92.5	1.63	
92	4	700	2000	2.5	92.5	1.63	
93	1	0	150	2.5	92.5	1.4	
93	2	150	410	2.5	92.5	1.4	
93	3	410	700	2.5	92.5	1.63	
93	4	700	2000	2.5	92.5	1.63	
94	1	0	150	2.5	92.5	1.4	
94	2	150	410	2.5	92.5	1.4	
94	3	410	700	2.5	92.5	1.63	
94	4	700	950	2.5	92.5	1.63	
94	5	950	2000	2.5	92.5	1.63	
95	1	0	300	2.5	92.5	1.4	
95	2	300	500	2.5	92.5	1.63	
95	3	500	700	2.5	92.5	1.63	
95	4	700	1600	2.5	92.5	1.63	
95	5	1600	2000	2.5	92.5	1.63	
96	1	0	300	2.5	92.5	1.4	
96	2	300	600	2.5	92.5	1.4	
96	3	600	1000	2.5	92.5	1.63	
96	4	1000	2000	2.5	92.5	1.63	
97	1	0	200	2.5	92.5	1.4	
97	2	200	810	2.5	92.5	1.63	
97	3	810	2000	2.5	92.5	1.63	
98	1	0	250	2.5	92.5	1.4	
98	2	250	1000	2.5	92.5	1.4	
98	3	1000	1600	2.5	92.5	1.63	
98	4	1600	2000	2.5	92.5	1.63	
99	1	0	100	35.0	10.0	1.18	
99	2	100	300	35.0	10.0	1.18	
99	3	300	600	35.0	10.0	1.41	
99	4	600	2000	35.0	10.0	1.41	
100	1	0	100	35.0	10.0	1.61	
100	2	100	600	35.0	10.0	1.61	
100	3	600	1200	35.0	10.0	1.61	
100	4	1200	2000	35.0	10.0	1.61	
101	1	0	100	35.0	10.0	1.41	
101	2	100	300	35.0	10.0	1.41	
101	3	300	600	35.0	10.0	1.41	
101	4	600	1200	35.0	10.0	1.41	
101	5	1200	2000	35.0	10.0	1.41	
102	1	0	100	20.0	8.0	1.24	
102	2	100	390	20.0	8.0	1.47	
102	3	390	2000	20.0	8.0	1.47	
103	1	0	250	20.0	8.0	1.24	
103	2	250	790	20.0	8.0	1.47	
103	3	790	1310	20.0	8.0	1.47	
103	4	1310	1800	27.5	5.0	1.44	
103	5	1800	2000	27.5	5.0	1.44	
104	1	0	200	50.0	10.0	1.12	
104	2	200	600	50.0	10.0	1.35	
104	3	600	900	50.0	10.0	1.12	
104	4	900	2000	50.0	10.0	1.12	
105	1	0	100	4.0	63.5	1.37	
105	2	100	2000	4.0	63.5	1.37	
106	1	0	300	4.0	63.5	1.37	
106	2	300	700	4.0	63.5	1.6	
106	3	700	1200	6.5	76.0	1.6	
106	4	1200	2000	14.5	60.5	1.55	
107	1	0	300	2.5	92.5	1.4	
107	2	300	400	2.5	92.5	1.63	
107	3	400	600	2.5	92.5	1.83	
107	4	600	1200	2.5	92.5	1.63	
107	5	1200	2000	2.5	92.5	1.63	
108	1	0	300	10.0	65.0	1.35	
108	2	300	400	6.5	76.0	1.6	
108	3	400	1000	21.0	44.0	1.71	
108	4	1000	2000	21.0	44.0	1.71	
109	1	0	100	2.5	92.5	1.63	
109	2	100	300	2.5	92.5	1.63	
109	3	300	600	2.5	92.5	1.63	
109	4	600	1000	2.5	92.5	1.63	
109	5	1000	2000	2.5	92.5	1.63	
110	1	0	100	2.5	92.5	1.4	
110	2	100	150	2.5	92.5	1.4	
110	3	150	350	2.5	92.5	1.83	
110	4	350	700	2.5	92.5	1.83	
110	5	700	1200	2.5	92.5	1.63	
110	6	1200	2000	2.5	92.5	1.63	
111	1	0	250	2.5	92.5	1.4	
111	2	250	500	2.5	92.5	1.63	
111	3	500	1000	2.5	92.5	1.63	
111	4	1000	2000	2.5	92.5	1.63	
112	1	0	300	4.0	63.5	1.37	
112	2	300	600	4.0	63.5	1.6	
112	3	600	1200	2.5	92.5	1.63	
112	4	1200	2000	2.5	92.5	1.63	
113	1	0	300	2.5	92.5	1.4	
113	2	300	350	2.5	92.5	1.63	
113	3	350	600	2.5	92.5	1.83	
113	4	600	900	2.5	92.5	1.63	
113	5	900	2000	2.5	92.5	1.63	
114	1	0	100	2.5	92.5	1.4	
114	2	100	200	2.5	92.5	1.4	
114	3	200	400	2.5	92.5	1.83	
114	4	400	700	2.5	92.5	1.83	
114	5	700	2000	2.5	92.5	1.63	
115	1	0	100	2.5	92.5	1.4	
115	2	100	250	2.5	92.5	1.4	
115	3	250	350	2.5	92.5	1.63	
115	4	350	600	2.5	92.5	1.83	
115	5	600	1200	2.5	92.5	1.63	
115	6	1200	2000	2.5	92.5	1.63	
116	1	0	100	6.5	76.0	1.37	
116	2	100	300	6.5	76.0	1.6	
116	3	300	400	6.5	76.0	1.6	
116	4	400	600	10.0	65.0	1.78	
116	5	600	1200	10.0	65.0	1.58	
116	6	1200	2000	10.0	65.0	1.58	
117	1	0	100	2.5	92.5	1.4	
117	2	100	300	2.5	92.5	1.4	
117	3	300	350	2.5	92.5	1.63	
117	4	350	600	2.5	92.5	1.83	
117	5	600	1500	2.5	92.5	1.63	
117	6	1500	2000	2.5	92.5	1.63	
118	1	0	100	2.5	92.5	1.4	
118	2	100	300	2.5	92.5	1.4	
118	3	300	700	14.5	60.5	1.55	
118	4	700	1200	21.0	44.0	1.71	
118	5	1200	2000	21.0	44.0	1.71	
119	1	0	100	6.5	76.0	1.37	
119	2	100	300	10.0	65.0	1.58	
119	3	300	400	6.5	76.0	1.6	
119	4	400	1000	21.0	44.0	1.71	
119	5	1000	2000	21.0	44.0	1.71	
120	1	0	100	10.0	65.0	1.35	
120	2	100	300	10.0	65.0	1.35	
120	3	300	600	10.0	65.0	1.58	
120	4	600	1000	10.0	65.0	1.58	
120	5	1000	1500	14.5	60.5	1.75	
120	6	1500	2000	21.0	44.0	1.71	
121	1	0	350	4.0	63.5	1.15	
121	2	350	600	4.0	63.5	1.6	
121	3	600	800	2.5	92.5	1.63	
121	4	800	2000	2.5	92.5	1.63	
122	1	0	100	4.0	63.5	1.6	
122	2	100	300	4.0	63.5	1.6	
122	3	300	800	4.0	63.5	1.6	
122	4	800	2000	4.0	63.5	1.6	
123	1	0	200	2.5	92.5	1.4	
123	2	200	300	2.5	92.5	1.4	
123	3	300	400	2.5	92.5	1.63	
123	4	400	600	2.5	92.5	1.63	
123	5	600	1000	2.5	92.5	1.63	
123	6	1000	2000	2.5	92.5	1.63	
124	1	0	1100	21.0	44.0	1.71	
125	1	0	300	2.5	80.0	1.39	
125	2	300	700	2.5	80.0	1.62	
125	3	700	1200	2.5	92.5	1.63	
125	4	1200	2000	2.5	92.5	1.63	
126	1	0	300	10.0	65.0	1.35	
126	2	300	600	10.0	65.0	1.58	
126	3	600	800	30.0	30.0	1.66	
126	4	800	1200	21.0	44.0	1.71	
126	5	1200	2000	10.0	65.0	1.58	
127	1	0	300	10.0	65.0	1.35	
127	2	300	400	10.0	65.0	1.58	
127	3	400	800	21.0	34.0	1.7	
127	4	800	1200	21.0	44.0	1.51	
127	5	1200	2000	21.0	44.0	1.51	
128	1	0	250	14.5	60.5	1.32	
128	2	250	300	14.5	60.5	1.55	
128	3	300	500	21.0	44.0	1.71	
128	4	500	1000	21.0	44.0	1.51	
128	5	1000	2000	21.0	34.0	1.5	
129	1	0	300	14.5	60.5	1.55	
129	2	300	400	14.5	60.5	1.55	
129	3	400	600	21.0	56.5	1.72	
129	4	600	900	21.0	56.5	1.72	
129	5	900	1200	21.0	44.0	1.71	
129	6	1200	2000	21.0	44.0	1.71	
130	1	0	300	10.0	65.0	1.35	
130	2	300	350	10.0	65.0	1.78	
130	3	350	700	10.0	65.0	1.78	
130	4	700	1200	14.5	60.5	1.55	
130	5	1200	2000	21.0	44.0	1.51	
131	1	0	300	14.5	60.5	1.55	
131	2	300	700	14.5	60.5	1.75	
131	3	700	1000	21.0	56.5	1.72	
131	4	1000	2000	21.0	44.0	1.71	
132	1	0	300	35.0	10.0	1.41	
132	2	300	600	40.0	20.0	1.76	
132	3	600	1200	50.0	10.0	1.7	
132	4	1200	2000	50.0	10.0	1.7	
133	1	0	300	21.0	56.5	1.29	
133	2	300	500	21.0	44.0	1.51	
133	3	500	1200	21.0	34.0	1.7	
133	4	1200	2000	14.5	60.5	1.55	
134	1	0	300	14.5	60.5	1.32	
134	2	300	350	21.0	56.5	1.52	
134	3	350	700	21.0	34.0	1.7	
134	4	700	2000	21.0	44.0	1.51	
135	1	0	350	35.0	10.0	1.18	
135	2	350	500	50.0	10.0	1.35	
135	3	500	700	55.0	22.5	1.55	
135	4	700	2000	55.0	22.5	1.35	
136	1	0	300	4.0	63.5	1.37	
136	2	300	500	4.0	51.0	1.59	
136	3	500	1200	14.0	10.5	1.7	
136	4	1200	2000	10.0	12.5	1.52	
137	1	0	200	10.0	65.0	1.35	
137	2	200	600	10.0	65.0	1.58	
137	3	600	2000	10.0	65.0	1.35	
138	1	0	100	4.0	63.5	1.37	
138	2	100	600	6.5	76.0	1.6	
138	3	600	2000	2.5	92.5	1.63	
139	1	0	300	2.5	92.5	1.4	
139	2	300	700	2.5	92.5	1.63	
139	3	700	1200	2.5	92.5	1.63	
139	4	1200	2000	2.5	92.5	1.63	
140	1	0	400	2.5	92.5	1.4	
140	2	400	600	2.5	92.5	1.63	
140	3	600	2000	2.5	92.5	1.63	
141	1	0	50	2.5	92.5	1.4	
141	2	50	2000	2.5	92.5	1.63	
142	1	0	300	4.0	63.5	1.37	
142	2	300	600	4.0	63.5	1.6	
142	3	600	1200	4.0	51.0	1.59	
142	4	1200	2000	4.0	51.0	1.59	
143	1	0	300	23.5	19.0	1.48	
143	2	300	400	23.5	19.0	1.48	
143	3	400	600	23.5	19.0	1.68	
143	4	600	1200	23.5	19.0	1.68	
143	5	1200	2000	23.5	19.0	1.68	
144	1	0	300	4.0	63.5	1.37	
144	2	300	400	4.0	63.5	1.6	
144	3	400	700	4.0	63.5	1.8	
144	4	700	2000	4.0	63.5	1.6	
145	1	0	300	23.5	19.0	1.48	
145	2	300	700	23.5	19.0	1.68	
145	3	700	1000	23.5	19.0	1.83	
145	4	1000	2000	23.5	19.0	1.68	
146	1	0	300	23.5	19.0	1.03	
146	2	300	600	23.5	19.0	1.48	
146	3	600	1200	23.5	19.0	1.68	
146	4	1200	2000	23.5	19.0	1.68	
147	1	0	300	4.0	63.5	1.37	
147	2	300	600	4.0	63.5	1.6	
147	3	600	800	10.0	65.0	1.58	
147	4	800	1200	21.0	56.5	1.72	
147	5	1200	2000	21.0	56.5	1.72	
148	1	0	500	2.5	92.5	1.63	
148	2	500	2000	2.5	92.5	1.4	
149	1	0	20	2.5	92.5	1.4	
149	2	20	2000	2.5	92.5	1.63	
