date,SMI,RCI,QDI,MDI
2005-11-04,46.484375,2.734375,18.359375,22.526041
2005-11-05,50.390625,15.234375,82.421875,49.348957
2005-11-06,52.734375,22.265625,32.421875,35.807293
2005-11-07,50.390625,21.484375,33.984375,35.286457
2005-11-08,47.265625,20.703125,33.984375,33.984375
2005-11-09,44.921875,19.921875,33.203125,32.682293
2005-11-10,42.578125,19.921875,33.984375,32.161457
2005-11-11,41.796875,18.359375,32.421875,30.859375
2005-11-12,40.234375,16.796875,30.859375,29.296875
2005-11-13,39.453125,15.234375,27.734375,27.473959
2005-11-14,38.671875,12.890625,26.171875,25.911459
2005-11-15,43.359375,19.140625,81.640625,48.046875
2005-11-16,51.171875,26.171875,79.296875,52.213543
2005-11-17,59.765625,29.296875,83.984375,57.682293
2005-11-18,59.765625,31.640625,44.921875,45.442707
2005-11-19,59.765625,30.078125,33.984375,41.276043
2005-11-20,62.109375,46.484375,93.359375,67.31771
2005-11-21,72.265625,51.953125,71.484375,65.234375
2005-11-22,73.046875,51.171875,43.359375,55.859375
2005-11-23,74.609375,48.046875,55.859375,59.505207
2005-11-24,73.828125,47.265625,45.703125,55.598957
2005-11-25,72.265625,46.484375,46.484375,55.078125
2005-11-26,71.484375,44.140625,44.921875,53.515625
2005-11-27,70.703125,42.578125,41.796875,51.692707
2005-11-28,69.921875,39.453125,39.453125,49.609375
2005-11-29,68.359375,37.890625,34.765625,47.005207
2005-11-30,66.015625,36.328125,32.421875,44.921875
2005-12-01,63.671875,33.984375,30.078125,42.578125
2005-12-02,60.546875,30.078125,25.390625,38.671875
2005-12-03,60.546875,30.078125,71.484375,54.036457
2005-12-04,69.921875,43.359375,94.140625,69.140625
2005-12-05,73.046875,51.953125,76.171875,67.05729
2005-12-06,70.703125,50.390625,33.203125,51.432293
2005-12-07,68.359375,48.828125,32.421875,49.869793
2005-12-08,68.359375,48.046875,68.359375,61.588543
2005-12-09,69.140625,48.046875,36.328125,51.171875
2005-12-10,66.796875,41.796875,31.640625,46.744793
2005-12-11,64.453125,34.765625,27.734375,42.317707
2005-12-12,66.015625,30.859375,46.484375,47.786457
2005-12-13,65.234375,27.734375,33.203125,42.057293
2005-12-14,65.234375,30.078125,75.390625,56.901043
2005-12-15,66.015625,55.078125,98.046875,73.046875
2005-12-16,72.265625,84.765625,97.265625,84.765625
2005-12-17,73.046875,91.796875,58.203125,74.34896
2005-12-18,72.265625,84.765625,53.515625,70.18229
2005-12-19,71.484375,79.296875,48.046875,66.27604
2005-12-20,72.265625,82.421875,94.921875,83.203125
2005-12-21,72.265625,87.890625,64.453125,74.86979
2005-12-22,72.265625,80.859375,66.796875,73.30729
2005-12-23,72.265625,87.109375,92.578125,83.984375
2005-12-24,76.171875,94.140625,95.703125,88.671875
2005-12-25,77.734375,94.921875,70.703125,81.11979
2005-12-26,78.125,91.796875,74.609375,81.510414
2005-12-27,76.953125,88.671875,71.484375,79.03646
2005-12-28,75.390625,85.546875,69.921875,76.953125
2005-12-29,75.43104,81.465515,68.534485,75.14368
2005-12-30,75.0,72.5,57.5,68.333336
2005-12-31,72.02381,62.5,49.404762,61.30952
2006-01-01,70.625,65.625,74.375,70.208336
2006-01-02,72.395836,61.979168,52.604168,62.32639
2006-01-03,71.875,54.910713,44.19643,56.99405
2006-01-04,71.484375,51.953125,41.015625,54.817707
2006-01-05,68.359375,48.046875,38.671875,51.692707
2006-01-06,66.796875,41.796875,33.203125,47.265625
2006-01-07,64.453125,37.109375,30.859375,44.140625
2006-01-08,62.109375,35.546875,28.515625,42.057293
2006-01-09,60.546875,33.203125,28.515625,40.755207
2006-01-10,59.765625,30.078125,24.609375,38.151043
2006-01-11,59.765625,26.171875,21.484375,35.807293
2006-01-12,59.765625,19.921875,21.484375,33.723957
2006-01-13,59.765625,16.796875,18.359375,31.640625
2006-01-14,59.765625,15.234375,16.796875,30.598959
2006-01-15,59.765625,12.890625,15.234375,29.296875
2006-01-16,59.765625,11.328125,12.890625,27.994791
2006-01-17,58.203125,7.421875,10.546875,25.390625
2006-01-18,58.203125,5.859375,8.984375,24.348959
